CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name
         1x                         |        0.0s        0.0s                         | set_dont_use_inoutblackbox_port
         1x                         |        0.0s        0.0s                         | set_dont_use_unreadable_signal
       126x                         |        0.0s        0.0s                         | set_global
         1x                         |        0.0s        0.0s                         | set_hierarchy
         1x                         |        0.0s        0.0s                         | set_operating_condition
         1x                         |        0.0s        0.0s                         | set_powerpro_mode
         1x                         |        0.0s        0.0s                         | set_powerpro_reset
         2x                         |        0.0s        0.0s                         | set_wire_load_mode
         2x                         |        0.0s        0.0s                         | sls_create_clock
         1x                         |        0.0s        0.0s                         | sls_set_attrs_parallel_case_mux
        20x                         |        0.0s        0.0s                         | source
         1x                         |        2.4s        2.4s                         | synthesize_design
        21x                         |        0.1s        0.0s                         | tcl_source
        11x                         |        0.0s        0.0s                         | update_read_design
         1x                         |        0.0s        0.0s                         | vdb_report_hierarchy
         1x                         |        0.0s        0.0s                         | visualize_clock_tree
         3x                         |        0.8s        0.3s                         | write_db
         1x                         |        0.1s        0.1s                         | write_verify_script


=== Counters ========================================================================================================================================

         0x | BDD::NumAborted
         0x | BDD::NumBypassed
         0x | BDD::NumFalsifiedwCtrEx
         0x | BDD::NumFalsifiedwoCtrEx
         0x | BDD::NumPosed
         0x | BDD::NumProved
         0x | BDD::NumSent
         0x | BDD::NumTriviallyProved
         0x | BDD::NumUnresolved
         0x | BLS::NumProbsAborted
         0x | BLS::NumProbsFalsified
         0x | BLS::NumProbsPosed
         0x | BLS::NumProbsProved
         0x | ESS::NumProbsAborted
         0x | ESS::NumProbsFalsified
         0x | ESS::NumProbsPosed
         0x | ESS::NumProbsProved
         0x | MultiThreaded::SatExtABC::NumProbsAborted
         0x | MultiThreaded::SatExtABC::NumProbsFalsified
         0x | MultiThreaded::SatExtABC::NumProbsPosed
         0x | MultiThreaded::SatExtABC::NumProbsProved
         0x | SAT::NumProbsAborted
         0x | SAT::NumProbsFalsified
         0x | SAT::NumProbsPosed
         0x | SAT::NumProbsProved
         0x | WLS::NumProbsAborted
         0x | WLS::NumProbsFalsified
         0x | WLS::NumProbsPosed
         0x | WLS::NumProbsProved


